id,name,maxCopies,rules,unsure,quoteMissing,overridden,reasons,quotes,note
28645123,A.I. Challenge You,0,3.4 7b,true,false,false,3.4: Continuous Trap lock on all opponent activations during battles. | 7b: Revives a monster from the GY.,3.4: your opponent cannot activate cards or effects until the end of the Damage Step | 7b: Special Summon it,Lock triggers only when an Ignister battles; condition is archetype-based but the locked actions are not.
30834988,All-Out Attacks,0,3.4,false,false,false,"3.4: Continuous forced attack on Special Summoned monsters, not property-limited.","3.4: must attack, if able",
8233522,Ally of Justice Cycle Reader,0,4,false,false,false,4: Handtrap that removes cards from the opponent's GY.,"4: You can discard this card to the Graveyard, then target up to 2 LIGHT monsters in your opponent's Graveyard; banish those targets",
91869203,Amazoness Archer,0,6a frequency,false,false,false,"6a (repeatable): Burn with tribute cost, no activation limit.",6a: inflict 1200 damage to your opponent,
34487429,Ancient City - Rainbow Ruins,0,5 10 frequency,false,false,false,"10 (repeatable): Negates Spell/Trap activations, no per-turn limit. | 5: Draws a card.",10: negate the activation | 5: You can draw 1 card,
65064143,Anti-Aircraft Flower,0,6a frequency,false,false,false,6a (repeatable): Burn with no activation limit.,6a: inflict 800 points of damage to your opponent's Life Points,
28531163,Apocavities,0,10 frequency,false,false,false,10 (repeatable): Negates the effects of an opponent's monster; no once-per-turn limit.,10: Its effects are negated,
48539234,Appropriate,0,5 frequency,false,false,false,5 (repeatable): Draws each time opponent draws.,5: immediately draw 2 cards,
5861892,Arcana Force EX - The Light Ruler,0,10 frequency,false,false,false,10 (repeatable): Negates activations without a once-per-turn limit.,10: negate the activation,
34568403,Arcana Force VII - The Chariot,0,7b frequency,true,false,false,7b (repeatable): Special Summons a destroyed monster from the GY.,7b: you can Special Summon that monster to your side of the field,Repeatability depends on multiple battle destructions per turn.
23846921,Arcana Force XXI - The World,0,11b,true,false,false,11b: Skips the opponent's whole turn and can do so in each of your End Phases.,11b: skip your opponent's next turn,"Depends on the coin toss on summon; once heads, it can be used every turn."
93880808,Arcana Triumph Joker,0,7b 8 frequency,false,false,false,"7b: summons itself from the GY | 8 (repeatable): destroys multiple opponent cards; discard cost, no once-per-turn limit",7b: If this card is in your hand or GY | 8: destroy all face-up cards your opponent controls,
18378582,Archlord Zerato,0,8 frequency,false,false,false,8 (repeatable): Mass destruction without once-per-turn limit.,8: destroy all monsters on your opponent's side of the field,
2674965,Argostars - Home Stadium,0,10 frequency,false,false,false,"10 (repeatable): Negates effects, once per Chain.",10: negate its effects until the end of this turn,
59464593,Armed Dragon LV10,0,8 frequency,false,false,false,"8 (repeatable): Mass destruction, no once-per-turn limit.",8: destroy all face-up monsters your opponent controls,
73879377,Armed Dragon LV7,0,8 frequency,false,false,false,8 (repeatable): Can destroy multiple opponent monsters with an unrestricted ignition effect.,8: destroy all monsters your opponent controls,
84268896,Artifact Caduceus,0,5 7b frequency,false,false,false,"5 (repeatable): Draws each time Artifacts are summoned, with no limit. | 7b: Summons itself from the GY.",5: Draw 1 card | 7b: sent to your Graveyard: Special Summon it,
34267821,Artifact Lancea,0,4 7b,false,false,false,4: Handtrap preventing opponent's actions. | 7b: Special Summons itself from the GY.,4: neither player can banish cards for the rest of this turn | 7b: Special Summon it,
14558127,Ash Blossom & Joyous Spring,0,4 10,false,false,false,4: Handtrap that negates an opponent's action outside the Battle Phase. | 10: Negates an effect.,4: You can discard this card; negate that effect | 10: negate that effect,
46083380,Attraffic Control,0,3.4,true,false,false,3.4: Continuous attack lock not tied to a card property.,"3.4: If your opponent controls 3 or more monsters, they cannot declare an attack.","Condition on opponent's own monster count, not a comparison; opponent can avoid it."
53701259,Awakening of the Sacred Beasts,0,3.4 10,true,false,false,10: Continuous negation. | 3.4: Continuous zone-movement lock.,10: Negate the activated effects of monsters your opponent controls | 3.4: Any monsters sent to your opponent's GY are banished instead,Conditional on controlling 3 Sacred Beasts; could be 3.2.
28486799,Backup Squad,0,5 frequency,false,false,false,"5 (repeatable): Draws cards each time damage is taken, no per-turn limit.",5: Draw 1 card for every 1000 damage you took,
40633297,Bad Reaction to Simochi,0,3.4,true,false,false,"3.4: Lasting punishment of the opponent's LP gain, not bound to a monster or a card property.",3.4: any effect of increasing your opponent's Life Points is changed to inflict the same amount of points in damage,Unclear whether LP gain is an action class for rule 3 or rather 6a/22.
54702678,"Barbaroid, the Ultimate Battle Machine",0,10 frequency,false,false,false,10 (repeatable): Negates battled monsters; can trigger on each of two attacks.,10: Negate the effects of that monster,
24184846,Battlin' Boxer Rib Gardna,0,4 7b,false,false,false,"4: Hand effect in the opponent's turn that removes another card (own, ruling 16). | 7b: Temporary banish that returns a monster (ruling 1).",4: banish it until your next Standby Phase | 7b: banish it until your next Standby Phase,
65430555,Beetrooper Sting Lancer,0,4,false,false,false,4: Quick Effect from hand on opponent's turn removes an opponent's GY card.,4: place the targeted monsters on the bottoms of the Decks,
20374520,"Begone, Knave!",0,3.4,true,false,false,"3.4: Lasting punishment for attacking (ruling 4), not tied to a monster.",3.4: If a monster inflicts battle damage to a player: Return that monster to the hand.,Could be read as repeated single removal rather than a floodgate.
65240384,Big Shield Gardna,0,10 frequency,false,false,false,"10 (repeatable): Negates a Spell activation, no limit.",10: negate the activation,
55410871,Blue-Eyes Chaos MAX Dragon,0,6b 9a stacking,false,false,false,9a: Untargetable and indestructible by opponent's effects. | 6b: Doubles battle damage.,9a: Your opponent cannot target this card with card effects | 6b: inflict double piercing battle damage,
53347303,Blue-Eyes Shining Dragon,0,10 frequency,false,false,false,10 (repeatable): Negates targeting effects with no once-per-turn limit.,10: You can negate that effect.,
30397786,"Blue-Eyes White Dragon, the White Phantom Beast",0,8 10 frequency,false,false,false,8: Mass destruction. | 10 (repeatable): Negation with a discard cost and no per-turn limit.,8: destroy all monsters your opponent controls | 10: negate that effect,
30548775,Branch!,0,7b frequency,false,false,false,7b (repeatable): Continuous Spell that repeatedly Special Summons materials from the GY.,7b: Fusion Materials in your Graveyard that was used for its Fusion Summon; Special Summon it,
18973184,Branded Lost,0,3.4,true,false,false,3.4: Continuous no-negation/no-response lock (ruling 14) not tied to a monster.,3.4: your opponent cannot activate cards or effects when a monster is Fusion Summoned this way,"Scope tied to how monsters are summoned, a game state, so 3.3 not applied."
